"African Online Championships, Feb. 2021.  Sections grouped into one.",,,,,,,,,** Uses all turns from 12 to 60 in all games **,,,,,,,,UW = unit weights,,,,,,,,,
Stockfish 7 with unit weights,,,,,,,,,Shortcut for Rapid over eliminating book by 2300+,,,,,,,,EWN = weighted by expectation loss,,,,,,,,,
"Ratings are FIDE Standard via lookup where possible. Sub 175 for G35 Rapid, add 150 for pandemic lag, add 25 for uncertainty = same rating",,,,,,,,,,,,,,,,,,,,,,,,,,
IPR12 = Intrinsic Performance Rating starting at turn 12.,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Move-Match, Equal-Optimal Value, and Average Scaled Difference (MMZ,EVZ,ASDZ) are combined into the official CombZ score by a rule that is now slightly rating-dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,
"ELWZ is like ASDZ but in units of ""expectation loss"" rather than centipawn value.  It is not calibrated and not included in CombZ but is related to an alternative weighting scheme ""EWN"" directed against ""smart cheating.""",,,,,,,,,,,,,,,,,,,,,,,,,,
PredZ is a new provisional test for (un)predictability that is intended to be less dependent on a particular engine.,,,,,,,,,,,,,,,,,,,,,,,,,,
The T2 and T3 tests are not calibrated and are positively biased by 0.30--0.50 on average.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Not calibrated---ignore,,,,,,,
Name,Rating,Rating Used,IPR12,CombZ,PredZ,#turns,wtfactor,IPR diff,2sigma,ChallFaced,s,c,MMZ,EVZ,ASDZ,ELWZ,Engine,Weights,T2Z,T3Z,T3thr50Z,sOfIPR,cOfIPR,CombZ+,Pred+,
FilipeMarcio             ,1990,1990,1747,-1.88,-1.83,160,1,-218,310,1990.9,0.206108,0.642053,-2.11,-2.08,-1.00,-1.17,    SF7,   UW,-1.46,-1.09,-1.36,0.0470872623671751,0.336554445734861,0.00,0.00,0
FloraFranciscoJoseEsteves,1808,1808,1479,-0.82,-0.17,196,1,-304,336,1635,0.040081,0.296223,-0.49,-0.51,-1.27,-0.84,    SF7,   UW,-0.21,0.17,-0.25,0.0553586235607275,0.323694083499419,0.00,0.00,0
FourieBrandon            ,1583,1583,2038,1.57,1.47,195,1,480,370,1437.6,0.027416,0.319310,1.44,1.34,1.55,1.62,    SF7,   UW,1.67,1.26,1.33,0.0383387940960023,0.35051849577409,1.57,1.47,0
FrancisOnkemetse         ,1787,1787,1301,-1.61,-1.03,247,1,-461,312,1622.9,0.046764,0.292963,-0.99,-1.41,-2.06,-1.53,    SF7,   UW,-0.40,-0.39,-1.01,0.0609658780316271,0.315152499626626,0.00,0.00,0
GeorgeSamirDavid         ,1769,1769,1960,1.07,0.73,173,1,216,381,1718.5,0.017993,0.281458,1.05,1.18,0.73,0.97,    SF7,   UW,0.83,-0.03,0.53,0.0406599728651378,0.346775554526462,1.07,0.73,0
GlendaMadelta            ,1427,1427,1708,1.45,0.74,208,1,306,336,1249.6,0.023838,0.278845,1.34,1.60,1.05,1.22,    SF7,   UW,1.26,0.29,0.64,0.0482781520301243,0.334682975111047,1.45,0.74,0
GohilMehul               ,1991,1991,2150,0.03,-0.04,168,1,184,345,1907,0.077162,0.472408,-0.35,-0.26,0.69,0.42,    SF7,   UW,-0.28,-0.46,-0.19,0.0350362671050257,0.355892975514275,0.03,0.00,0
GomesLoedi               ,1070,1070,440,-2.32,-2.27,132,1,-605,432,1102.2,0.330835,0.450264,-2.14,-2.38,-1.87,-2.53,    SF7,   UW,-1.70,-1.08,-2.02,0.0893685821405039,0.273836186623957,0.00,0.00,0
HardivKarania            ,1317,1317,1253,0.72,0.56,217,1,-39,393,1346.8,0.019165,0.236679,0.86,1.26,-0.15,-0.12,    SF7,   UW,0.79,0.51,0.81,0.0624934680875629,0.312849151166547,0.72,0.56,0
HemamMoulayeBrahim       ,2046,2046,2555,1.06,1.04,115,1,534,294,2043.5,0.080109,0.621255,0.62,0.33,1.97,1.74,    SF7,   UW,1.31,2.22,2.12,0.0233936839111436,0.375327478146192,1.06,1.04,0
JamboLinda               ,1450,1450,1552,0.74,0.80,199,1,127,388,1347.8,0.032752,0.287526,0.67,1.03,0.33,0.17,    SF7,   UW,1.03,1.12,1.11,0.0530852359436849,0.32719709261579,0.74,0.80,0
JoaoDelfina              ,1727,1727,1892,-0.21,-1.01,200,1,190,279,1398.7,0.105242,0.478927,-0.68,-0.22,0.33,0.66,    SF7,   UW,-0.61,-0.14,0.09,0.0426977697013068,0.34351247754135,0.00,0.00,0
JoaoFarisse              ,1574,1574,2049,2.20,1.82,256,1,500,251,1375.5,0.02809,0.322452,1.63,2.37,2.07,1.77,    SF7,   UW,2.09,2.12,2.35,0.0380128491358339,0.351046346462859,2.20,1.82,0
JoelsonRicardo           ,2017,2017,1867,0.30,0.52,206,1,-125,384,1973.5,0.008785,0.237922,0.74,0.78,-0.71,-0.28,    SF7,   UW,0.14,0.64,0.43,0.0434502863495024,0.342312816885059,0.30,0.52,0
JuniorDomingos           ,1894,1894,2379,1.09,0.85,124,1,510,392,1944,0.046545,0.432126,0.84,0.69,1.47,1.79,    SF7,   UW,1.00,0.42,0.56,0.0283955094598479,0.366881867125902,1.09,0.85,0
